시행 : 0 S | 0 B
54829번째 시행 : 0 S | 1 B
54830번째 시행 : 0 S | 0 B
54831번째 시행 : 1 S | 1 B
54832번째 시행 : 0 S | 1 B
54833번째 시행 : 1 S | 0 B
54834번째 시행 : 2 S | 0 B
54835번째 시행 : 0 S | 1 B
54836번째 시행 : 0 S | 0 B
54837번째 시행 : 0 S | 1 B
54838번째 시행 : 0 S | 1 B
54839번째 시행 : 0 S | 0 B
54840번째 시행 : 0 S | 2 B
54841번째 시행 : 0 S | 1 B
54842번째 시행 : 0 S | 0 B
54843번째 시행 : 0 S | 1 B
54844번째 시행 : 0 S | 2 B
54845번째 시행 : 0 S | 1 B
54846번째 시행 : 2 S | 0 B
54847번째 시행 : 0 S | 0 B
54848번째 시행 : 1 S | 0 B
54849번째 시행 : 0 S | 1 B
54850번째 시행 : 0 S | 2 B
54851번째 시행 : 0 S | 0 B
54852번째 시행 : 0 S | 0 B
54853번째 시행 : 0 S | 0 B
54854번째 시행 : 0 S | 0 B
54855번째 시행 : 0 S | 0 B
54856번째 시행 : 0 S | 1 B
54857번째 시행 : 0 S | 0 B
54858번째 시행 : 1 S | 0 B
54859번째 시행 : 0 S | 0 B
54860번째 시행 : 0 S | 1 B
54861번째 시행 : 2 S | 0 B
54862번째 시행 : 0 S | 1 B
54863번째 시행 : 0 S | 0 B
54864번째 시행 : 0 S | 1 B
54865번째 시행 : 0 S | 1 B
54866번째 시행 : 1 S | 0 B
54867번째 시행 : 0 S | 2 B
54868번째 시행 : 0 S | 0 B
54869번째 시행 : 0 S | 1 B
54870번째 시행 : 0 S | 1 B
54871번째 시행 : 0 S | 1 B
54872번째 시행 : 0 S | 1 B
54873번째 시행 : 0 S | 0 B
54874번째 시행 : 1 S | 1 B
54875번째 시행 : 0 S | 1 B
54876번째 시행 : 0 S | 2 B
54877번째 시행 : 2 S | 0 B
54878번째 시행 : 0 S | 1 B
54879번째 시행 : 0 S | 1 B
54880번째 시행 : 0 S | 1 B
54881번째 시행 : 0 S | 0 B
54882번째 시행 : 1 S | 0 B
54883번째 시행 : 0 S | 0 B
54884번째 시행 : 0 S | 0 B
54885번째 시행 : 2 S | 0 B
54886번째 시행 : 0 S | 0 B
54887번째 시행 : 0 S | 0 B
54888번째 시행 : 0 S | 2 B
54889번째 시행 : 1 S | 0 B
54890번째 시행 : 1 S | 0 B
54891번째 시행 : 1 S | 0 B
54892번째 시행 : 0 S | 1 B
54893번째 시행 : 1 S | 0 B
54894번째 시행 : 0 S | 0 B
54895번째 시행 : 0 S | 0 B
54896번째 시행 : 0 S | 1 B
54897번째 시행 : 0 S | 1 B
54898번째 시행 : 1 S | 0 B
54899번째 시행 : 0 S | 0 B
54900번째 시행 : 0 S | 1 B
54901번째 시행 : 0 S | 0 B
54902번째 시행 : 0 S | 1 B
54903번째 시행 : 0 S | 1 B
54904번째 시행 : 1 S | 0 B
54905번째 시행 : 1 S | 0 B
54906번째 시행 : 0 S | 1 B
54907번째 시행 : 0 S | 2 B
54908번째 시행 : 2 S | 0 B
54909번째 시행 : 0 S | 2 B
54910번째 시행 : 0 S | 1 B
54911번째 시행 : 0 S | 1 B
54912번째 시행 : 0 S | 2 B
54913번째 시행 : 0 S | 1 B
54914번째 시행 : 0 S | 1 B
54915번째 시행 : 1 S | 0 B
54916번째 시행 : 2 S | 0 B
54917번째 시행 : 0 S | 0 B
54918번째 시행 : 0 S | 1 B
54919번째 시행 : 1 S | 0 B
54920번째 시행 : 0 S | 0 B
54921번째 시행 : 0 S | 1 B
54922번째 시행 : 1 S | 1 B
54923번째 시행 : 0 S | 1 B
54924번째 시행 : 0 S | 1 B
54925번째 시행 : 0 S | 0 B
54926번째 시행 : 1 S | 1 B
54927번째 시행 : 1 S | 0 B
54928번째 시행 : 0 S | 2 B
54929번째 시행 : 0 S | 0 B
54930번째 시행 : 0 S | 2 B
54931번째 시행 : 0 S | 0 B
54932번째 시행 : 0 S | 0 B
54933번째 시행 : 0 S | 1 B
54934번째 시행 : 2 S | 0 B
54935번째 시행 : 0 S | 0 B
54936번째 시행 : 0 S | 1 B
54937번째 시행 : 1 S | 0 B
54938번째 시행 : 0 S | 1 B
54939번째 시행 : 1 S | 0 B
54940번째 시행 : 0 S | 1 B
54941번째 시행 : 1 S | 0 B
54942번째 시행 : 1 S | 0 B
54943번째 시행 : 0 S | 0 B
54944번째 시행 : 0 S | 1 B
54945번째 시행 : 0 S | 2 B
54946번째 시행 : 1 S | 0 B
54947번째 시행 : 3 S | 0 B
54948번째 시행 : 0 S | 1 B
54949번째 시행 : 0 S | 2 B
54950번째 시행 : 1 S | 0 B
54951번째 시행 : 0 S | 2 B
54952번째 시행 : 1 S | 0 B
54953번째 시행 : 0 S | 1 B
54954번째 시행 : 0 S | 0 B
54955번째 시행 : 0 S | 1 B
54956번째 시행 : 0 S | 1 B
54957번째 시행 : 1 S | 1 B
54958번째 시행 : 0 S | 1 B
54959번째 시행 : 0 S | 1 B
54960번째 시행 : 0 S | 2 B
54961번째 시행 : 1 S | 0 B
54962번째 시행 : 0 S | 0 B
54963번째 시행 : 0 S | 0 B
54964번째 시행 : 0 S | 0 B
54965번째 시행 : 0 S | 1 B
54966번째 시행 : 1 S | 0 B
54967번째 시행 : 0 S | 1 B
54968번째 시행 : 0 S | 1 B
54969번째 시행 : 0 S | 1 B
54970번째 시행 : 1 S | 1 B
54971번째 시행 : 1 S | 0 B
54972번째 시행 : 1 S | 1 B
54973번째 시행 : 1 S | 2 B
54974번째 시행 : 0 S | 0 B
54975번째 시행 : 0 S | 1 B
54976번째 시행 : 1 S | 0 B
54977번째 시행 : 0 S | 1 B
54978번째 시행 : 0 S | 0 B
54979번째 시행 : 0 S | 1 B
54980번째 시행 : 0 S | 1 B
54981번째 시행 : 0 S | 1 B
54982번째 시행 : 0 S | 0 B
54983번째 시행 : 0 S | 1 B
54984번째 시행 : 0 S | 0 B
54985번째 시행 : 1 S | 1 B
54986번째 시행 : 0 S | 0 B
54987번째 시행 : 0 S | 1 B
54988번째 시행 : 0 S | 1 B
54989번째 시행 : 0 S | 1 B
54990번째 시행 : 0 S | 2 B
54991번째 시행 : 0 S | 2 B
54992번째 시행 : 0 S | 2 B
54993번째 시행 : 0 S | 1 B
54994번째 시행 : 1 S | 0 B
54995번째 시행 : 0 S | 2 B
54996번째 시행 : 0 S | 1 B
54997번째 시행 : 0 S | 0 B
54998번째 시행 : 0 S | 0 B
54999번째 시행 : 0 S | 0 B
55000번째 시행 : 0 S | 2 B
55001번째 시행 : 1 S | 0 B
55002번째 시행 : 1 S | 0 B
55003번째 시행 : 0 S | 1 B
55004번째 시행 : 0 S | 0 B
55005번째 시행 : 0 S | 1 B
55006번째 시행 : 0 S | 1 B
55007번째 시행 : 1 S | 0 B
55008번째 시행 : 0 S | 2 B
55009번째 시행 : 0 S | 1 B
55010번째 시행 : 0 S | 2 B
55011번째 시행 : 0 S | 0 B
55012번째 시행 : 1 S | 1 B
55013번째 시행 : 0 S | 2 B
55014번째 시행 : 0 S | 1 B
55015번째 시행 : 0 S | 1 B
55016번째 시행 : 0 S | 2 B
55017번째 시행 : 0 S | 1 B
55018번째 시행 : 0 S | 0 B
55019번째 시행 : 0 S | 1 B
55020번째 시행 : 1 S | 1 B
55021번째 시행 : 0 S | 0 B
55022번째 시행 : 0 S | 0 B
55023번째 시행 : 0 S | 1 B
55024번째 시행 : 0 S | 1 B
55025번째 시행 : 0 S | 2 B
55026번째 시행 : 1 S | 1 B
55027번째 시행 : 0 S | 1 B
55028번째 시행 : 0 S | 2 B
55029번째 시행 : 0 S | 1 B
55030번째 시행 : 0 S | 0 B
55031번째 시행 : 0 S | 1 B
55032번째 시행 : 0 S | 0 B
55033번째 시행 : 1 S | 1 B
55034번째 시행 : 0 S | 0 B
55035번째 시행 : 0 S | 0 B
55036번째 시행 : 1 S | 0 B
55037번째 시행 : 0 S | 2 B
55038번째 시행 : 0 S | 0 B
55039번째 시행 : 1 S | 2 B
55040번째 시행 : 0 S | 1 B
55041번째 시행 : 0 S | 1 B
55042번째 시행 : 0 S | 0 B
55043번째 시행 : 0 S | 1 B
55044번째 시행 : 0 S | 1 B
55045번째 시행 : 0 S | 0 B
55046번째 시행 : 1 S | 0 B
55047번째 시행 : 0 S | 1 B
55048번째 시행 : 0 S | 1 B
55049번째 시행 : 0 S | 2 B
55050번째 시행 : 0 S | 1 B
55051번째 시행 : 0 S | 0 B
55052번째 시행 : 0 S | 1 B
55053번째 시행 : 0 S | 0 B
55054번째 시행 : 1 S | 0 B
55055번째 시행 : 0 S | 0 B
55056번째 시행 : 0 S | 1 B
55057번째 시행 : 1 S | 0 B
55058번째 시행 : 0 S | 1 B
55059번째 시행 : 0 S | 2 B
55060번째 시행 : 0 S | 2 B
55061번째 시행 : 0 S | 1 B
55062번째 시행 : 0 S | 1 B
55063번째 시행 : 1 S | 0 B
55064번째 시행 : 0 S | 1 B
55065번째 시행 : 0 S | 1 B
55066번째 시행 : 1 S | 1 B
55067번째 시행 : 0 S | 0 B
55068번째 시행 : 2 S | 0 B
55069번째 시행 : 1 S | 0 B
55070번째 시행 : 1 S | 0 B
55071번째 시행 : 0 S | 1 B
55072번째 시행 : 0 S | 2 B
55073번째 시행 : 0 S | 1 B
55074번째 시행 : 0 S | 1 B
55075번째 시행 : 0 S | 0 B
55076번째 시행 : 0 S | 1 B
55077번째 시행 : 1 S | 0 B
55078번째 시행 : 0 S | 2 B
55079번째 시행 : 0 S | 2 B
55080번째 시행 : 0 S | 1 B
55081번째 시행 : 0 S | 2 B
55082번째 시행 : 1 S | 0 B
55083번째 시행 : 0 S | 0 B
55084번째 시행 : 0 S | 1 B
55085번째 시행 : 0 S | 0 B
55086번째 시행 : 0 S | 1 B
55087번째 시행 : 0 S | 0 B
55088번째 시행 : 0 S | 0 B
55089번째 시행 : 0 S | 1 B
55090번째 시행 : 0 S | 2 B
55091번째 시행 : 1 S | 0 B
55092번째 시행 : 0 S | 2 B
55093번째 시행 : 0 S | 0 B
55094번째 시행 : 0 S | 0 B
55095번째 시행 : 0 S | 2 B
55096번째 시행 : 1 S | 0 B
55097번째 시행 : 1 S | 0 B
55098번째 시행 : 0 S | 1 B
55099번째 시행 : 1 S | 1 B
55100번째 시행 : 0 S | 1 B
55101번째 시행 : 0 S | 2 B
55102번째 시행 : 0 S | 1 B
55103번째 시행 : 0 S | 0 B
55104번째 시행 : 0 S | 1 B
55105번째 시행 : 0 S | 1 B
55106번째 시행 : 0 S | 0 B
55107번째 시행 : 0 S | 1 B
55108번째 시행 : 0 S | 1 B
55109번째 시행 : 1 S | 0 B
55110번째 시행 : 1 S | 0 B
55111번째 시행 : 0 S | 1 B
55112번째 시행 : 2 S | 0 B
55113번째 시행 : 0 S | 1 B
55114번째 시행 : 0 S | 1 B
55115번째 시행 : 1 S | 0 B
55116번째 시행 : 0 S | 1 B
55117번째 시행 : 0 S | 1 B
55118번째 시행 : 1 S | 0 B
55119번째 시행 : 0 S | 1 B
55120번째 시행 : 0 S | 1 B
55121번째 시행 : 0 S | 1 B
55122번째 시행 : 1 S | 0 B
55123번째 시행 : 0 S | 2 B
55124번째 시행 : 1 S | 1 B
55125번째 시행 : 1 S | 0 B
55126번째 시행 : 0 S | 0 B
55127번째 시행 : 0 S | 0 B
55128번째 시행 : 0 S | 1 B
55129번째 시행 : 1 S | 0 B
55130번째 시행 : 0 S | 2 B
55131번째 시행 : 1 S | 1 B
55132번째 시행 : 0 S | 1 B
55133번째 시행 : 1 S | 0 B
55134번째 시행 : 1 S | 0 B
55135번째 시행 : 0 S | 1 B
55136번째 시행 : 0 S | 0 B
55137번째 시행 : 0 S | 0 B
55138번째 시행 : 0 S | 0 B
55139번째 시행 : 1 S | 0 B
55140번째 시행 : 0 S | 2 B
55141번째 시행 : 0 S | 1 B
55142번째 시행 : 0 S | 0 B
55143번째 시행 : 1 S | 0 B
55144번째 시행 : 0 S | 0 B
55145번째 시행 : 0 S | 1 B
55146번째 시행 : 0 S | 0 B
55147번째 시행 : 0 S | 2 B
55148번째 시행 : 0 S | 1 B
55149번째 시행 : 1 S | 1 B
55150번째 시행 : 0 S | 0 B
55151번째 시행 : 0 S | 0 B
55152번째 시행 : 1 S | 0 B
55153번째 시행 : 1 S | 0 B
55154번째 시행 : 0 S | 0 B
55155번째 시행 : 0 S | 1 B
55156번째 시행 : 0 S | 0 B
55157번째 시행 : 0 S | 1 B
55158번째 시행 : 0 S | 0 B
